ID_POL;Fecha_Siniestro;TipoSin;Costes
B83901;14/02/2017;Daños Propios;192,96
B83901;08/09/2017;Daños Propios;614,18
B83901;08/09/2017;Daños Propios;2465,87
B83925;13/05/2017;Daños Propios;557,56
B83942;16/09/2017;Daños Propios;816,65
B84021;01/10/2017;Daños Propios;162,73
B84021;01/10/2017;Daños Propios;268,8
B84021;01/10/2017;Daños Propios;310,62
B84021;01/10/2017;Daños Propios;391,26
B84021;01/10/2017;Daños Propios;394,07
B84032;04/11/2017;Daños Propios;1359,27
B84101;24/04/2017;Daños Propios;792,9
B84104;05/11/2017;Daños Propios;258,59
B84104;05/11/2017;Daños Propios;498,77
B84104;05/11/2017;Daños Propios;534,71
B84131;27/03/2017;Daños Propios;2147,6
B84178;20/06/2017;Daños Propios;86,9
B84180;18/07/2017;Daños Propios;516,74
B84221;03/03/2017;Daños Propios;102,55
B84247;13/03/2017;Daños Propios;542,14
B84247;17/11/2017;Daños Propios;567,49
B84253;24/03/2017;Daños Propios;951,95
B84266;03/06/2017;Daños Propios;1539,7
B84277;25/11/2017;Daños Propios;993,69
B84306;15/05/2017;Daños Propios;3131,81
B84314;03/01/2017;Daños Propios;4775,47
B84319;23/10/2017;Daños Propios;206,65
B84319;23/10/2017;Daños Propios;228,92
B84319;23/10/2017;Daños Propios;406,97
B84319;23/10/2017;Daños Propios;447,08
B84334;08/10/2017;Daños Propios;125,03
B84334;14/10/2017;Daños Propios;521,18
B84348;03/11/2017;Daños Propios;203,55
B84355;09/10/2017;Daños Propios;1227,56
B84390;06/11/2017;Daños Propios;355,79
B84390;06/11/2017;Daños Propios;370,91
B84390;06/11/2017;Daños Propios;912,65
B84390;06/11/2017;Daños Propios;1020,88
B84390;24/03/2017;Daños Propios;1920,97
B84417;27/08/2017;Daños Propios;150,2
B84419;20/10/2017;Daños Propios;268,02
B84476;03/11/2017;Daños Propios;353,45
B84476;21/10/2017;Daños Propios;602,78
B84484;19/07/2017;Daños Propios;83,59
B84497;13/05/2017;Daños Propios;95,25
B84497;02/09/2017;Daños Propios;284,92
B84509;31/10/2017;Daños Propios;167,05
B84509;09/04/2017;Daños Propios;309,14
B84515;04/04/2017;Daños Propios;415,32
B84542;10/09/2017;Daños Propios;94,38
B84554;29/10/2017;Daños Propios;173,76
B84554;29/10/2017;Daños Propios;188,11
B84554;29/10/2017;Daños Propios;254,12
B84554;29/10/2017;Daños Propios;362,3
B84582;20/02/2017;Daños Propios;106,85
B84582;23/07/2017;Daños Propios;239,59
B84599;01/09/2017;Daños Propios;39,82
B84630;20/02/2017;Daños Propios;244,92
B84654;01/08/2017;Daños Propios;299,73
B84656;25/02/2017;Daños Propios;274,51
B84658;09/06/2017;Daños Propios;381
B84658;09/06/2017;Daños Propios;397,38
B84658;09/06/2017;Daños Propios;456,68
B84658;23/10/2017;Daños Propios;509,69
B84658;09/06/2017;Daños Propios;670,36
B84658;09/06/2017;Daños Propios;966,58
B84668;07/10/2017;Daños Propios;779,71
B84673;04/11/2017;Daños Propios;1105,2
B84695;19/10/2017;Daños Propios;562,41
B84837;14/07/2017;Daños Propios;273,79
B84837;14/07/2017;Daños Propios;290,59
B84837;14/07/2017;Daños Propios;347,12
B84851;25/08/2017;Daños Propios;571,93
B84866;24/06/2017;Daños Propios;167,27
B84877;04/11/2017;Daños Propios;360,84
B84890;07/08/2017;Daños Propios;338,69
