ID_POL;Antigüedad;Forma_Pago;Potencia;Peso;Valor;Comb;Sexo;Edad;Carnet;Bonus_RC;start_date;end_date
B80291;7;A;90;1292;12935,08;D;2;32;7;50;01/01/2017;10/11/2017
B80292;9;T;150;1505;25348,76;D;2;44;10;50;01/01/2017;04/11/2017
B80294;7;A;355;2105;57473,38;G;2;37;10;50;01/01/2017;04/11/2017
B80295;7;A;120;1285;16124,72;G;2;48;10;50;01/01/2017;04/11/2017
B80296;3;A;106;1407;17768,83;D;1;39;10;20;01/01/2017;04/11/2017
B80298;8;A;90;980;11492,93;D;1;53;10;50;01/01/2017;04/11/2017
B80299;3;A;92;1228;17721,53;D;2;34;10;50;01/01/2017;04/11/2017
B80300;10;A;130;1465;20404,4;D;1;42;1;50;01/01/2017;04/11/2017
B80301;9;A;75;1180;13828,72;D;2;29;8;50;01/01/2017;04/11/2017
B80303;5;A;85;965;6597,71;G;1;46;10;50;01/01/2017;27/11/2017
B80304;6;A;90;1125;13870,78;D;1;29;6;50;01/01/2017;10/11/2017
B80305;10;A;109;1937;18847,74;D;1;35;10;10;01/01/2017;04/11/2017
B80306;8;A;155;1535;26807,42;D;1;41;10;50;01/01/2017;16/11/2017
B80308;10;A;80;980;10233,8;G;2;52;10;50;01/01/2017;04/11/2017
B80309;8;A;100;1165;12737;D;1;32;9;50;01/01/2017;04/11/2017
B80310;10;A;90;1152;12157,06;D;2;35;10;30;01/01/2017;15/11/2017
B80311;9;A;115;1204;12885,11;D;1;38;10;50;30/06/2017;07/11/2017
B80311;9;A;231;1430;29587,83;G;1;38;10;50;01/01/2017;29/06/2017
B80312;6;A;136;1460;18482,81;D;1;33;8;50;01/01/2017;29/11/2017
B80316;6;A;105;1125;12883,71;D;1;26;5;50;01/01/2017;04/11/2017
B80317;9;A;60;975;9755,65;G;1;43;10;50;04/01/2017;31/12/2017
B80318;8;A;75;1590;13843,1;D;1;36;10;50;01/01/2017;04/11/2017
B80319;9;A;102;1205;13892,93;G;1;29;10;50;01/01/2017;05/11/2017
B80320;10;A;100;1195;15839,5;D;1;61;10;50;01/01/2017;05/11/2017
B80321;5;A;90;1357;14083,74;D;2;53;10;50;01/01/2017;04/11/2017
B80322;10;A;225;1395;27979,87;G;1;63;10;50;01/01/2017;04/11/2017
B80323;10;A;130;1502;26832,77;D;2;44;10;50;01/01/2017;04/11/2017
B80324;9;A;110;1424;20574,66;D;2;35;10;20;01/01/2017;04/11/2017
B80325;7;A;110;1088;11442,22;G;1;52;10;50;01/01/2017;04/11/2017
